file,min_sup,min_conf,
out1_untappd.csv,0.01,0.5,
size,itemset,support,
1,0.015706806282722512,(SLO Brewing Company+Reggae Red),
1,0.01832460732984293,(Tap It Brewing Co+Cafe Noir),
1,0.010471204188481676,(Mammoth Brewing Company+Double Nut Brown),
1,0.010471204188481676,(Firestone Walker Brewing Company+Velvet Merkin),
1,0.010471204188481676,(Desnoes & Geddes+Red Stripe),
1,0.015706806282722512,(Stone Brewing Co.+Stone Ruination IPA),
1,0.013089005235602094,(SLO Brewing Company+Oatmeal Stout),
1,0.020942408376963352,(SLO Brewing Company+IPA),
1,0.010471204188481676,(Firestone Walker Brewing Company+Lil' Opal),
1,0.010471204188481676,(Boulevard Brewing Co.+Tank 7 Farmhouse Ale),
1,0.013089005235602094,(Firestone Walker Brewing Company+Agrestic),
1,0.010471204188481676,(Lagunitas Brewing Company+Imperial Red Ale),
1,0.013089005235602094,(The Lost Abbey+10 Commandments),
1,0.013089005235602094,(Anheuser-Busch+Bud Light),
1,0.013089005235602094,(Firestone Walker Brewing Company+Double Jack),
1,0.013089005235602094,(Coronado Brewing Company+Idiot IPA),
1,0.015706806282722512,(Dogfish Head Craft Brewery+Punkin Ale),
1,0.010471204188481676,(Mother Earth Brew Co. (California)+Boo Koo),
1,0.013089005235602094,(Green Flash Brewing Co.+Citra Session IPA),
1,0.010471204188481676,(Port Brewing Company+Mongo Double IPA),
1,0.013089005235602094,(The Lost Abbey+Serpent's Stout),
1,0.010471204188481676,(Port Brewing Company+Old Viscosity),
1,0.010471204188481676,(The Lost Abbey+Judgment Day),
1,0.01832460732984293,(Coors Brewing Company+Coors Light),
1,0.010471204188481676,(Brewery Ommegang+Three Philosophers),
1,0.015706806282722512,(Stone Brewing Co.+Stone Go To IPA),
1,0.013089005235602094,(Firestone Walker Brewing Company+Wookey Jack),
1,0.013089005235602094,(Boulder Beer Company+Shake Chocolate Porter),
1,0.010471204188481676,(Russian River Brewing Company+Damnation),
1,0.010471204188481676,(Brewery Ommegang+Hennepin Farmhouse Saison),
1,0.01832460732984293,(Bang The Drum Brewery+King Maté),
