file              min_sup     min_conf                                                                                                                                                                                            
out1_untappd.csv  0.005       0.6                                                                                                                                                                                                 
support           confidence  antecedent                                                                                                                                                                                          consequent
0.006             0.160       {Sierra Nevada Brewing Co.+Pale Ale}                                                                                                                                                                {Anchor Brewing Company+Anchor Steam Beer}-{Firestone Walker Brewing Company+Easy Jack}-{Firestone Walker Brewing Company+Pivo Pils}
0.006             0.160       {Sierra Nevada Brewing Co.+Pale Ale}                                                                                                                                                                {Anchor Brewing Company+Anchor Steam Beer}-{Firestone Walker Brewing Company+Pivo Pils}
0.006             0.160       {Sierra Nevada Brewing Co.+Pale Ale}                                                                                                                                                                {Anchor Brewing Company+Anchor Steam Beer}-{Lagunitas Brewing Company+A Little Sumpin' Sumpin' Ale}
0.006             0.160       {Sierra Nevada Brewing Co.+Pale Ale}                                                                                                                                                                {Cervecería Cuauhtémoc Moctezuma S.A. de C.V.+Dos Equis Amber}-{Firestone Walker Brewing Company+Easy Jack}
0.006             0.160       {Sierra Nevada Brewing Co.+Pale Ale}                                                                                                                                                                {Cervecería Cuauhtémoc Moctezuma S.A. de C.V.+Dos Equis Amber}-{Firestone Walker Brewing Company+Easy Jack}-{Sapporo Breweries+Sapporo Premium Beer}
0.006             0.160       {Sierra Nevada Brewing Co.+Pale Ale}                                                                                                                                                                {Drake's Brewing Company+Denogginizer}-{Grupo Modelo S.A. de C.V.+Negra Modelo}
0.006             0.160       {Sierra Nevada Brewing Co.+Pale Ale}                                                                                                                                                                {Firestone Walker Brewing Company+805 Blonde}-{Cervecería Cuauhtémoc Moctezuma S.A. de C.V.+Dos Equis Amber}-{Firestone Walker Brewing Company+Easy Jack}
0.006             0.160       {Sierra Nevada Brewing Co.+Pale Ale}                                                                                                                                                                {Firestone Walker Brewing Company+805 Blonde}-{Cervecería Cuauhtémoc Moctezuma S.A. de C.V.+Dos Equis Amber}-{Firestone Walker Brewing Company+Easy Jack}-{Sapporo Breweries+Sapporo Premium Beer}
0.006             0.160       {Sierra Nevada Brewing Co.+Pale Ale}                                                                                                                                                                {Firestone Walker Brewing Company+805 Blonde}-{Cervecería Cuauhtémoc Moctezuma S.A. de C.V.+Dos Equis Amber}-{Sapporo Breweries+Sapporo Premium Beer}
0.006             0.160       {Sierra Nevada Brewing Co.+Pale Ale}                                                                                                                                                                {Firestone Walker Brewing Company+805 Blonde}-{Firestone Walker Brewing Company+Easy Jack}-{New Belgium Brewing Company+Fat Tire}
0.006             0.160       {Sierra Nevada Brewing Co.+Pale Ale}                                                                                                                                                                {Firestone Walker Brewing Company+805 Blonde}-{Firestone Walker Brewing Company+Easy Jack}-{Sapporo Breweries+Sapporo Premium Beer}
0.006             0.160       {Sierra Nevada Brewing Co.+Pale Ale}                                                                                                                                                                {Firestone Walker Brewing Company+805 Blonde}-{Firestone Walker Brewing Company+Pivo Pils}-{Firestone Walker Brewing Company+Easy Jack}
0.006             0.160       {Sierra Nevada Brewing Co.+Pale Ale}                                                                                                                                                                {Firestone Walker Brewing Company+Easy Jack}-{Firestone Walker Brewing Company+Pivo Pils}
0.006             0.160       {Sierra Nevada Brewing Co.+Pale Ale}                                                                                                                                                                {Firestone Walker Brewing Company+Easy Jack}-{New Belgium Brewing Company+Fat Tire}
0.006             0.160       {Sierra Nevada Brewing Co.+Pale Ale}                                                                                                                                                                {Firestone Walker Brewing Company+Pivo Pils}-{New Belgium Brewing Company+Fat Tire}
0.006             0.160       {Sierra Nevada Brewing Co.+Pale Ale}                                                                                                                                                                {New Belgium Brewing Company+Rampant}-{Lagunitas Brewing Company+A Little Sumpin' Sumpin' Ale}
0.006             0.160       {Sierra Nevada Brewing Co.+Pale Ale}                                                                                                                                                                {North Coast Brewing Company+Scrimshaw Pilsner}-{Stella Artois+Stella Artois}
0.006             0.160       {Sierra Nevada Brewing Co.+Pale Ale}                                                                                                                                                                {Stone Brewing Co.+Delicious IPA}-{Lagunitas Brewing Company+IPA}-{Firestone Walker Brewing Company+DBA (Double Barrel Ale)}
0.006             0.160       {Sierra Nevada Brewing Co.+Pale Ale}                                                                                                                                                                {Trumer+Trumer Pils}-{Lagunitas Brewing Company+A Little Sumpin' Sumpin' Ale}
0.006             0.160       {Sierra Nevada Brewing Co.+Pale Ale}                                                                                                                                                                {Trumer+Trumer Pils}-{Lagunitas Brewing Company+Night Time Ale}
0.006             0.160       {Sierra Nevada Brewing Co.+Pale Ale}                                                                                                                                                                {Trumer+Trumer Pils}-{New Belgium Brewing Company+Rampant}
0.006             0.160       {Sierra Nevada Brewing Co.+Pale Ale}                                                                                                                                                                {Trumer+Trumer Pils}-{New Belgium Brewing Company+Rampant}-{Lagunitas Brewing Company+A Little Sumpin' Sumpin' Ale}
0.006             0.167       {Ballast Point Brewing & Spirits+Sculpin IPA}                                                                                                                                                       {Firestone Walker Brewing Company+DBA (Double Barrel Ale)}-{Belching Beaver+Beavers Milk}
0.006             0.167       {Ballast Point Brewing & Spirits+Sculpin IPA}                                                                                                                                                       {The Bruery+Mischief}-{Firestone Walker Brewing Company+Wookey Jack}
0.006             0.174       {Dogfish Head Craft Brewery+90 Minute IPA}                                                                                                                                                          {Clown Shoes+Galactica}-{The Bruery+7 Swans-A-Swimming}
0.006             0.174       {Russian River Brewing Company+Pliny the Elder}                                                                                                                                                     {Drake's Brewing Company+Denogginizer}-{Stone Brewing Co.+19th Anniversary Thunderstruck IPA}
