id, brewery, beer
3612, Pizza Beer Company, Mamma Mia! Pizza Beer
958, The Lost Abbey, 10 Commandments
2829, Stone Brewing Co., Stone Enjoy By 02.14.14 IPA
538, Big Sky Brewing Company, Moose Drool Brown Ale
54, Stone Brewing Co., Stone Enjoy By 04.20.14 IPA
1471, Guinness, Harp Premium Lager
2766, Steelhead Brewing Co., Byronweiser Lager
2777, New Belgium Brewing Company, Gruit (Lips of Faith)
2974, AleSmith Brewing Company, Speedway Stout (Cherry Amaretto)
2189, CraftHaus Brewery, Resinate IPA
1601, Caledonian Brewing Company , British Session India Pale Ale
2447, AC Golden Brewing Co., Ctayt
236, Ruhstaller, Old Soul The Kenyan
3531, Hill Farmstead Brewery, Double Galaxy
2243, Brasserie Dubuisson, Cuvée des Trolls
3256, Lagunitas Brewing Company, Fusion 13
3260, Cycle Brewing Company, Nooner
1404, Duvel Moortgat, Duvel Single Fermented
1294, Stadium Brewing Company, Oatmeal Stout
3736, Almanac Beer Co., Farmer's Reserve Citrus
789, Boston Beer Company (Samuel Adams), Samuel Adams Boston Lager
3855, Adirondack Brewery, Beaver Tail Brown Ale
2037, Firestone Walker Brewing Company, Sour Opal
1858, The Mason Jar Brewing Company, The Wicked Daughter
2337, Paradise Creek Brewery, Huckleberry Pucker
1350, Pizza Port Brewing Co. , P.P.B.R.
902, House Of Pendragon Brewing Co., Belgian Blonde Ale
949, Firestone Walker Brewing Company, Firestone 14 Anniversary Ale
2646, Stone Brewing Co., Stone Brewing World Bistro & Gardens - Liberty Station Hot Lil’ Miami Tart
2899, Brewery Ommegang, Hop House
1837, Karl Strauss Brewing Company, Peanut Butter Cup Porter
1990, Oceanside Ale Works, DUDE
2416, Fiddlehead Brewing Company, Second Fiddle
2938, Figueroa Mountain Brewing Co., Cask Hoppy Poppy With Cascade And Citra
3757, Brooklyn Brewery, Wild Streak
3224, Monkey Paw Brewing Company, A.N.Z.A.C. Aussie Ale
2386, Mikkeller, Black Hole Barrel Aged White Wine
3238, Port Brewing Company, Mel Dorado
3886, Dunbar Brewing, Brown Porter 
1156, Pizza Port Brewing Co. , Hoptoberfest
2376, de Garde Brewing, Tableau Rouge
1458, Stone Brewing Co., Stone Enjoy By 12.05.14 IPA
2440, Ratio Beerworks, Genius Wizard
2172, The Bruery, Sans Pagaie (2013)
827, Klosterbrauerei Weltenburg, Weltenburger Asam Bock
29, Grupo Modelo S.A. de C.V., Victoria
2405, Sixpoint Brewery, Hi-Res (2015)
3368, Squatters Craft Beers, Fifth Element
267, The Lost Abbey, Cuvée de Tomme
1388, Artifex Brewing Company, A.H.A.B IPA (another hoppy ass beer) 
1315, Ballast Point Brewing & Spirits, Fathom
2929, ManRock Brewing Co., Reaper-Cussion
2492, Drake's Brewing Company, Scarlet O'Bretta
3577, Rip Current Brewing Co., Red Flag
1686, Kiuchi Brewery, Hitachino Nest White Ale
2699, Green Flash Brewing Co., Little Freak
2476, Sante Adairius Rustic Ales, Fumare (Barrel Aged)
1571, Anheuser-Busch, Bud Light Lime
1197, Sierra Nevada Brewing Co., Oktoberfest
1923, Bravery Brewing, Brandy Barrel Batch #100 Barleywine
2143, Six Rivers Brewery, Weatherman Kettle Sour Wheat
1840, The Mason Jar Brewing Company, Candy Cornholio
